year,amount_million_debit,amount_million_credit,tx_count_debit,tx_count_credit,avg_usd_debit,avg_usd_credit,total_amount_million,share_debit,share_credit
2015,1568.0,4644.0,35672932.0,95843953.0,43.954895549376204,48.453761083915225,6212.0,0.2524146812620734,0.7475853187379266
2016,2429.0,4896.0,59394749.0,110092451.0,40.89587111480175,44.47171405058463,7325.0,0.3316040955631399,0.66839590443686
2017,4106.0,5860.0,104816088.0,131945653.0,39.173375751249175,44.41222478166825,9966.0,0.4120008027292795,0.5879991972707205
2018,5464.0,6101.0,157932836.0,153141380.0,34.59698526530607,39.8390036709869,11565.0,0.47246000864677906,0.5275399913532209
2019,6336.0,5919.0,210025845.0,169253052.0,30.16771578754986,34.9713043874683,12255.0,0.5170134638922889,0.48298653610771114
2020,6308.0,4729.0,228336246.0,159770269.0,27.625924970317676,29.59874843798379,11037.0,0.5715321192352995,0.42846788076470055
2021,8000.0,6061.0,269104148.0,184697508.0,29.72826713915982,32.81581904180321,14061.0,0.5689495768437522,0.43105042315624775
2022,8873.0,7874.0,322326917.0,230790558.0,27.527952311844935,34.11751359429531,16747.0,0.529826237535081,0.4701737624649191
2023,10745.0,8775.0,426818078.0,252907504.0,25.17466001053498,34.6964793895558,19520.0,0.5504610655737705,0.4495389344262295
2024,12439.0,8021.0,496093586.0,198603445.0,25.073898052775874,40.38701342768752,20460.0,0.6079667644183773,0.3920332355816227
2025,6749.0,4314.0,268024971.0,96841365.0,25.180489619379532,44.547079649280036,11063.0,0.6100515230950013,0.3899484769049986
